"","n ","n HC","n OCD"," mean (S.D.)","HC mean (S.D.)","OCD mean (S.D.)","F","EffectSize","p.value","P.FDR"
"AVG_Whole_hippocampus","1","7","5","3678.95 (NA)","2956.78 (465.6)","3353.33 (299)",3.712,0.1,0.095,0.095
"AVG_Whole_hippocampal_head","1","7","5","1848.5 (NA)","1527.41 (262.6)","1713.54 (188.2)",1.265,0.048,0.298,0.442
"AVG_Whole_hippocampal_body","1","7","5","1214.31 (NA)","981.93 (145.1)","1152.05 (112.3)",5.95,0.207,0.045,0.135
"AVG_Hippocampal_tail","1","7","5","616.14 (NA)","447.45 (70.2)","487.74 (35)",0.665,0.033,0.442,0.442
"AVG_CA1","1","7","5","703.11 (NA)","575.44 (96.8)","652.25 (69.3)",2.369,0.081,0.168,0.253
"AVG_CA3","1","7","5","227.96 (NA)","164.52 (32.5)","177.73 (16.6)",0.037,0.002,0.853,0.853
"AVG_CA4","1","7","5","272.56 (NA)","207.62 (32.2)","233.25 (25.3)",1.324,0.074,0.288,0.32
"AVG_molecular_layer_HP","1","7","5","597.71 (NA)","483.42 (77.1)","544.08 (54.6)",2.258,0.074,0.177,0.253
"AVG_GC.ML.DG","1","7","5","309.48 (NA)","242.6 (36.8)","278.47 (28.2)",2.984,0.135,0.128,0.253
"AVG_subiculum","1","7","5","451.48 (NA)","368.97 (59.9)","414.16 (45.2)",1.686,0.055,0.235,0.294
"AVG_presubiculum","1","7","5","311.13 (NA)","265.56 (37.5)","315.95 (38)",5.265,0.208,0.055,0.193
"AVG_parasubiculum","1","7","5","79.21 (NA)","66.02 (13.9)","78.81 (5.1)",5.1,0.163,0.058,0.193
"AVG_fimbria","1","7","5","55.07 (NA)","84.96 (18.3)","111.26 (18.9)",5.459,0.253,0.052,0.193
"AVG_HATA","1","7","5","55.1 (NA)","50.23 (10.6)","59.63 (7.2)",3.076,0.082,0.123,0.253
"AVG_Whole_amygdala","1","7","5","2097.92 (NA)","1573.24 (229)","1674.31 (120.6)",0.147,0.005,0.713,0.713
"AVG_Lateral.nucleus","1","7","5","789.36 (NA)","589.71 (91.1)","638.18 (68.8)",0.349,0.017,0.573,0.597
"AVG_Basal.nucleus","1","7","5","532.93 (NA)","403.75 (62.2)","439.72 (27.1)",1.109,0.03,0.327,0.589
"AVG_Accessory.Basal.nucleus","1","7","5","315.11 (NA)","220.67 (35.8)","225.34 (14)",0.515,0.023,0.496,0.597
"AVG_Central.nucleus","1","7","5","52.17 (NA)","36.14 (5.1)","30.44 (2.9)",7.326,0.401,0.03,0.126
"AVG_Medial.nucleus","1","7","5","35.83 (NA)","18.95 (2.4)","14.81 (3.6)",6.14,0.22,0.042,0.126
"AVG_Cortical.nucleus","1","7","5","34.14 (NA)","19.82 (2.6)","17.09 (2.8)",4.988,0.256,0.061,0.137
"AVG_Anterior.amygdaloid.area.AAA","1","7","5","81.78 (NA)","52.57 (10)","52.95 (6.5)",0.307,0.02,0.597,0.597
"AVG_Corticoamygdaloid.transitio","1","7","5","199.51 (NA)","181.8 (29.1)","198.63 (15.1)",0.741,0.045,0.418,0.597
"AVG_Paralaminar.nucleus","1","7","5","57.09 (NA)","49.85 (7.1)","57.15 (5.3)",7.373,0.174,0.03,0.126
