"","diagnosis2","ICV","age","sex","diagnosis2:age","diagnosis2:sex"
"AI_Whole_hippocampus",0.437,"0.093",0.319,0.499,0.558,0.485
"AI_Whole_hippocampal_head",0.445,"0.063",0.308,0.553,0.605,0.442
"AI_Whole_hippocampal_body",0.465,"0.177",0.398,0.506,0.569,0.561
"AI_Hippocampal_tail",0.438,"0.132",0.29,0.37,0.479,0.552
"AI_CA1",0.602,"0.083",0.399,0.637,0.692,0.539
"AI_CA3",0.675,"0.131",0.517,0.79,0.884,0.767
"AI_CA4",0.573,"0.111",0.342,0.649,0.694,0.73
"AI_molecular_layer_HP",0.44,"0.093",0.369,0.538,0.583,0.474
"AI_GC.ML.DG",0.545,"0.108",0.357,0.626,0.676,0.664
"AI_subiculum",0.284,"0.097",0.24,0.343,0.371,0.335
"AI_presubiculum",0.394,"0.2",0.421,0.453,0.561,0.47
"AI_parasubiculum",0.472,"0.096",0.27,0.665,0.652,0.643
"AI_fimbria",0.3,"0.089",0.264,0.352,0.431,0.197
"AI_HATA",0.408,"0.027*",0.204,0.611,0.584,0.378
"AI_Whole_amygdala",0.187,"0.023*",0.222,0.342,0.343,0.161
"AI_Lateral.nucleus",0.088,"0.01*",0.234,0.198,0.211,0.05
"AI_Basal.nucleus",0.244,"0.035*",0.228,0.385,0.408,0.234
"AI_Accessory.Basal.nucleus",0.31,"0.081",0.251,0.569,0.446,0.391
"AI_Central.nucleus",0.409,"0.623",0.638,0.866,0.487,0.747
"AI_Medial.nucleus",0.079,"0.09",0.248,0.197,0.178,0.087
"AI_Cortical.nucleus",0.34,"0.083",0.297,0.793,0.457,0.457
"AI_Anterior.amygdaloid.area.AAA",0.34,"0.03*",0.273,0.484,0.533,0.324
"AI_Corticoamygdaloid.transitio",0.452,"0.011*",0.173,0.479,0.652,0.345
"AI_Paralaminar.nucleus",0.228,"0.023*",0.174,0.323,0.375,0.2
