"","diagnosis2","ICV","age","sex","diagnosis2:age","diagnosis2:sex"
"lh_Whole_hippocampus","0.78",0.8,0.332,0.26,"0.755","0.74"
"lh_Whole_hippocampal_head","0.937",0.715,0.439,0.276,"0.951","0.745"
"lh_Whole_hippocampal_body","0.806",0.923,0.324,0.327,"0.644","0.885"
"lh_Hippocampal_tail","0.304",0.888,0.177,0.188,"0.234","0.457"
"lh_CA1","0.988",0.915,0.582,0.375,"0.983","0.791"
"lh_CA3","0.513",0.381,0.227,0.212,"0.632","0.557"
"lh_CA4","0.706",0.631,0.349,0.356,"0.718","0.74"
"lh_molecular_layer_HP","0.869",0.903,0.47,0.297,"0.898","0.783"
"lh_GC.ML.DG","0.83",0.647,0.383,0.365,"0.816","0.816"
"lh_subiculum","0.776",0.929,0.364,0.269,"0.783","0.771"
"lh_presubiculum","0.846",0.943,0.471,0.343,"0.873","0.936"
"lh_parasubiculum","0.727",0.887,0.16,0.205,"0.7","0.742"
"lh_fimbria","0.54",0.738,0.545,0.532,"0.75","0.756"
"lh_HATA","0.727",0.127,0.061,0.082,"0.637","0.631"
"lh_Whole_amygdala","0.162",0.329,0.161,0.162,"0.215","0.166"
"lh_Lateral.nucleus","0.121",0.334,0.134,0.172,"0.154","0.104"
"lh_Basal.nucleus","0.258",0.398,0.163,0.166,"0.315","0.266"
"lh_Accessory.Basal.nucleus","0.161",0.359,0.128,0.139,"0.226","0.249"
"lh_Central.nucleus","0.277",0.772,0.907,0.517,"0.525","0.474"
"lh_Medial.nucleus","0.032*",0.125,0.861,0.225,"0.144","0.03*"
"lh_Cortical.nucleus","0.011*",0.068,0.163,0.133,"0.032*","0.024*"
"lh_Anterior.amygdaloid.area.AAA","0.516",0.607,0.849,0.306,"0.864","0.402"
"lh_Corticoamygdaloid.transitio","0.388",0.318,0.275,0.266,"0.373","0.372"
"lh_Paralaminar.nucleus","0.371",0.51,0.329,0.385,"0.361","0.314"
