label,region,R,G,B,A
0,Unknown,0.0,0.0,0.0,0
1,Left-Cerebral-Exterior,0.2734375,0.5078125,0.703125,1
2,Left-Cerebral-White-Matter,0.95703125,0.95703125,0.95703125,1
3,Left-Cerebral-Cortex,0.80078125,0.2421875,0.3046875,1
4,Left-Lateral-Ventricle,0.46875,0.0703125,0.5234375,1
5,Left-Inf-Lat-Vent,0.765625,0.2265625,0.9765625,1
6,Left-Cerebellum-Exterior,0.0,0.578125,0.0,1
7,Left-Cerebellum-White-Matter,0.859375,0.96875,0.640625,1
8,Left-Cerebellum-Cortex,0.8984375,0.578125,0.1328125,1
9,Left-Thalamus-unused,0.0,0.4609375,0.0546875,1
10,Left-Thalamus,0.0,0.4609375,0.0546875,1
11,Left-Caudate,0.4765625,0.7265625,0.859375,1
12,Left-Putamen,0.921875,0.05078125,0.6875,1
13,Left-Pallidum,0.046875,0.1875,0.99609375,1
14,3rd-Ventricle,0.796875,0.7109375,0.5546875,1
15,4th-Ventricle,0.1640625,0.796875,0.640625,1
16,Brain-Stem,0.46484375,0.62109375,0.6875,1
17,Left-Hippocampus,0.859375,0.84375,0.078125,1
18,Left-Amygdala,0.40234375,0.99609375,0.99609375,1
19,Left-Insula,0.3125,0.765625,0.3828125,1
20,Left-Operculum,0.234375,0.2265625,0.8203125,1
21,Line-1,0.234375,0.2265625,0.8203125,1
22,Line-2,0.234375,0.2265625,0.8203125,1
23,Line-3,0.234375,0.2265625,0.8203125,1
24,CSF,0.234375,0.234375,0.234375,1
25,Left-Lesion,0.99609375,0.64453125,0.0,1
26,Left-Accumbens-area,0.99609375,0.64453125,0.0,1
27,Left-Substancia-Nigra,0.0,0.99609375,0.49609375,1
28,Left-VentralDC,0.64453125,0.1640625,0.1640625,1
29,Left-undetermined,0.52734375,0.8046875,0.91796875,1
30,Left-vessel,0.625,0.125,0.9375,1
31,Left-choroid-plexus,0.0,0.78125,0.78125,1
32,Left-F3orb,0.390625,0.1953125,0.390625,1
33,Left-lOg,0.52734375,0.1953125,0.2890625,1
34,Left-aOg,0.4765625,0.52734375,0.1953125,1
35,Left-mOg,0.19921875,0.1953125,0.52734375,1
36,Left-pOg,0.2890625,0.60546875,0.234375,1
37,Left-Stellate,0.46875,0.2421875,0.16796875,1
38,Left-Porg,0.2890625,0.60546875,0.234375,1
39,Left-Aorg,0.4765625,0.52734375,0.1953125,1
40,Right-Cerebral-Exterior,0.2734375,0.5078125,0.703125,1
41,Right-Cerebral-White-Matter,0.95703125,0.95703125,0.95703125,1
42,Right-Cerebral-Cortex,0.80078125,0.2421875,0.3046875,1
43,Right-Lateral-Ventricle,0.46875,0.0703125,0.5234375,1
44,Right-Inf-Lat-Vent,0.765625,0.2265625,0.9765625,1
45,Right-Cerebellum-Exterior,0.0,0.578125,0.0,1
46,Right-Cerebellum-White-Matter,0.859375,0.96875,0.640625,1
47,Right-Cerebellum-Cortex,0.8984375,0.578125,0.1328125,1
48,Right-Thalamus-unused,0.0,0.4609375,0.0546875,1
49,Right-Thalamus,0.0,0.4609375,0.0546875,1
50,Right-Caudate,0.4765625,0.7265625,0.859375,1
51,Right-Putamen,0.921875,0.05078125,0.6875,1
52,Right-Pallidum,0.05078125,0.1875,0.99609375,1
53,Right-Hippocampus,0.859375,0.84375,0.078125,1
54,Right-Amygdala,0.40234375,0.99609375,0.99609375,1
55,Right-Insula,0.3125,0.765625,0.3828125,1
56,Right-Operculum,0.234375,0.2265625,0.8203125,1
57,Right-Lesion,0.99609375,0.64453125,0.0,1
58,Right-Accumbens-area,0.99609375,0.64453125,0.0,1
59,Right-Substancia-Nigra,0.0,0.99609375,0.49609375,1
60,Right-VentralDC,0.64453125,0.1640625,0.1640625,1
61,Right-undetermined,0.52734375,0.8046875,0.91796875,1
62,Right-vessel,0.625,0.125,0.9375,1
63,Right-choroid-plexus,0.0,0.78125,0.86328125,1
64,Right-F3orb,0.390625,0.1953125,0.390625,1
65,Right-lOg,0.52734375,0.1953125,0.2890625,1
66,Right-aOg,0.4765625,0.52734375,0.1953125,1
67,Right-mOg,0.19921875,0.1953125,0.52734375,1
68,Right-pOg,0.2890625,0.60546875,0.234375,1
69,Right-Stellate,0.46875,0.2421875,0.16796875,1
70,Right-Porg,0.2890625,0.60546875,0.234375,1
71,Right-Aorg,0.4765625,0.52734375,0.1953125,1
72,5th-Ventricle,0.46875,0.7421875,0.5859375,1
73,Left-Interior,0.4765625,0.52734375,0.1953125,1
74,Right-Interior,0.4765625,0.52734375,0.1953125,1
77,WM-hypointensities,0.78125,0.2734375,0.99609375,1
78,Left-WM-hypointensities,0.99609375,0.578125,0.0390625,1
79,Right-WM-hypointensities,0.99609375,0.578125,0.0390625,1
80,non-WM-hypointensities,0.640625,0.421875,0.8828125,1
81,Left-non-WM-hypointensities,0.640625,0.421875,0.8828125,1
82,Right-non-WM-hypointensities,0.640625,0.421875,0.8828125,1
83,Left-F1,0.99609375,0.8515625,0.72265625,1
84,Right-F1,0.99609375,0.8515625,0.72265625,1
85,Optic-Chiasm,0.9140625,0.66015625,0.1171875,1
192,Corpus_Callosum,0.9765625,0.99609375,0.1953125,1
86,Left_future_WMSA,0.78125,0.46875,0.99609375,1
87,Right_future_WMSA,0.78125,0.47265625,0.99609375,1
88,future_WMSA,0.78125,0.4765625,0.99609375,1
96,Left-Amygdala-Anterior,0.80078125,0.0390625,0.48828125,1
97,Right-Amygdala-Anterior,0.80078125,0.0390625,0.48828125,1
98,Dura,0.625,0.125,0.9375,1
99,Lesion,0.99609375,0.64453125,0.0,1
100,Left-wm-intensity-abnormality,0.484375,0.546875,0.6953125,1
101,Left-caudate-intensity-abnormality,0.48828125,0.546875,0.6953125,1
102,Left-putamen-intensity-abnormality,0.4921875,0.546875,0.6953125,1
103,Left-accumbens-intensity-abnormality,0.49609375,0.546875,0.6953125,1
104,Left-pallidum-intensity-abnormality,0.484375,0.55078125,0.6953125,1
105,Left-amygdala-intensity-abnormality,0.484375,0.5546875,0.6953125,1
106,Left-hippocampus-intensity-abnormality,0.484375,0.55859375,0.6953125,1
107,Left-thalamus-intensity-abnormality,0.484375,0.5625,0.6953125,1
108,Left-VDC-intensity-abnormality,0.484375,0.546875,0.69921875,1
109,Right-wm-intensity-abnormality,0.484375,0.546875,0.6953125,1
110,Right-caudate-intensity-abnormality,0.48828125,0.546875,0.6953125,1
111,Right-putamen-intensity-abnormality,0.4921875,0.546875,0.6953125,1
112,Right-accumbens-intensity-abnormality,0.49609375,0.546875,0.6953125,1
113,Right-pallidum-intensity-abnormality,0.484375,0.55078125,0.6953125,1
114,Right-amygdala-intensity-abnormality,0.484375,0.5546875,0.6953125,1
115,Right-hippocampus-intensity-abnormality,0.484375,0.55859375,0.6953125,1
116,Right-thalamus-intensity-abnormality,0.484375,0.5625,0.6953125,1
117,Right-VDC-intensity-abnormality,0.484375,0.546875,0.69921875,1
118,Epidermis,0.99609375,0.078125,0.57421875,1
119,Conn-Tissue,0.80078125,0.69921875,0.54296875,1
120,SC-Fat-Muscle,0.9296875,0.9296875,0.81640625,1
121,Cranium,0.78125,0.78125,0.78125,1
122,CSF-SA,0.2890625,0.99609375,0.2890625,1
123,Muscle,0.9296875,0.0,0.0,1
124,Ear,0.0,0.0,0.54296875,1
125,Adipose,0.67578125,0.99609375,0.18359375,1
126,Spinal-Cord,0.51953125,0.79296875,0.89453125,1
127,Soft-Tissue,0.1015625,0.92578125,0.22265625,1
128,Nerve,0.1328125,0.54296875,0.1328125,1
129,Bone,0.1171875,0.5625,0.99609375,1
130,AirCavity,0.765625,0.625,0.5,1
131,Orbital-Fat,0.9296875,0.23046875,0.23046875,1
132,Tongue,0.86328125,0.15234375,0.78125,1
133,Nasal-Structures,0.9296875,0.6796875,0.9296875,1
134,Globe,0.99609375,0.0,0.0,1
135,Teeth,0.28125,0.23828125,0.54296875,1
136,Left-Caudate-Putamen,0.08203125,0.15234375,0.515625,1
137,Right-Caudate-Putamen,0.08203125,0.15234375,0.515625,1
138,Left-Claustrum,0.25390625,0.52734375,0.078125,1
139,Right-Claustrum,0.25390625,0.52734375,0.078125,1
140,Cornea,0.5234375,0.015625,0.625,1
142,Diploe,0.86328125,0.8828125,0.265625,1
143,Vitreous-Humor,0.99609375,0.99609375,0.9921875,1
144,Lens,0.203125,0.81640625,0.8828125,1
145,Aqueous-Humor,0.93359375,0.625,0.87109375,1
146,Outer-Table,0.2734375,0.5078125,0.703125,1
147,Inner-Table,0.2734375,0.5078125,0.70703125,1
148,Periosteum,0.54296875,0.47265625,0.3671875,1
149,Endosteum,0.875,0.875,0.875,1
150,R-C-S,0.99609375,0.0,0.0,1
151,Iris,0.80078125,0.80078125,0.0,1
152,SC-Adipose-Muscle,0.9296875,0.9296875,0.81640625,1
153,SC-Tissue,0.54296875,0.47265625,0.3671875,1
154,Orbital-Adipose,0.9296875,0.23046875,0.23046875,1
155,Left-IntCapsule-Ant,0.9296875,0.23046875,0.23046875,1
156,Right-IntCapsule-Ant,0.9296875,0.23046875,0.23046875,1
157,Left-IntCapsule-Pos,0.2421875,0.0390625,0.80078125,1
158,Right-IntCapsule-Pos,0.2421875,0.0390625,0.80078125,1
159,Left-Cerebral-WM-unmyelinated,0.0,0.4609375,0.0546875,1
160,Right-Cerebral-WM-unmyelinated,0.0,0.4609375,0.0546875,1
161,Left-Cerebral-WM-myelinated,0.859375,0.84375,0.08203125,1
162,Right-Cerebral-WM-myelinated,0.859375,0.84375,0.08203125,1
163,Left-Subcortical-Gray-Matter,0.4765625,0.7265625,0.859375,1
164,Right-Subcortical-Gray-Matter,0.4765625,0.7265625,0.859375,1
165,Skull,0.46875,0.46875,0.46875,1
166,Posterior-fossa,0.0546875,0.1875,0.99609375,1
167,Scalp,0.6484375,0.1640625,0.1640625,1
168,Hematoma,0.47265625,0.0703125,0.5234375,1
169,Left-Basal-Ganglia,0.921875,0.05078125,0.49609375,1
